models,ndcg,precision@10,map@10,recall@10,mrr@10,dcg@10
bm25,0.766982040911629,0.6,0.49553571428571425,0.75,0.5,2.5521768277501873
all-MiniLM-L6-v2,0.7580081664320605,0.4,0.36990740740740735,0.6666666666666666,1.0,2.0033476796842518
deepvk/USER-bge-m3,0.9971226952512304,1.0,0.7142857142857143,0.7142857142857143,1.0,4.543559338088346
intfloat/multilingual-e5-large,0.9848698983160259,0.9,0.5775925925925927,0.6,1.0,4.210226004755013
Tochka-AI/ruRoPEBert-e5-base-2k,0.9033088785740542,0.6,0.46868686868686865,0.5454545454545454,1.0,3.1517011336267196
cointegrated/rubert-tiny2,0.5847251687050106,0.4,0.23379629629629628,0.6666666666666666,0.25,1.4033786176311254
colbertv2.0,0.6736038743268181,0.5,0.36139455782312924,0.7142857142857143,0.3333333333333333,1.9356819553004772
"deepvk/USER-bge-m3, bm25",0.9188890475491365,0.9,0.5823870573870574,0.6923076923076923,1.0,3.912629584516888
"intfloat/multilingual-e5-large, bm25",0.9168109172260119,0.8,0.4765022675736961,0.5714285714285714,1.0,3.6235647581990005
"Tochka-AI/ruRoPEBert-e5-base-2k, bm25",0.8943072027052461,0.7,0.5097402597402597,0.6363636363636364,1.0,3.296134712067178
"cointegrated/rubert-tiny2, bm25",0.6639106753885092,0.5,0.27222222222222225,0.625,0.3333333333333333,1.833154816324433
"all-MiniLM-L6-v2, bm25",0.8335444305935515,0.5,0.38478835978835974,0.5555555555555556,1.0,2.535651017353604
"colbertv2.0, bm25",0.6909630322430016,0.5,0.28108465608465605,0.5555555555555556,0.3333333333333333,1.9356819553004772
all-MiniLM-L6-v2+bm25,0.8934985247569694,0.4,0.5694444444444444,0.6666666666666666,1.0,2.417813498752873
deepvk/USER-bge-m3+bm25,0.9640203800702926,0.8,0.5443594104308389,0.5714285714285714,1.0,3.898287324662436
Tochka-AI/ruRoPEBert-e5-base-2k+bm25,0.802484912159641,0.7,0.4507936507936508,0.6363636363636364,0.5,2.898287324662436
intfloat/multilingual-e5-large+bm25,0.9848698983160259,0.9,0.5775925925925927,0.6,1.0,4.210226004755013
cointegrated/rubert-tiny2+bm25,0.9125553640518635,0.4,0.6333333333333333,0.6666666666666666,1.0,2.5177825608059994
